name	kind	source_kind	layer	defined_in
git_revert_options_init	symbol	function_exported	5	src/libgit2/revert.c
git_stash_apply	symbol	function_exported	5	src/libgit2/stash.c
git_stash_apply_init_options	symbol	function_exported	5	src/libgit2/stash.c
git_stash_pop	symbol	function_exported	5	src/libgit2/stash.c
git_transport_register	symbol	function_exported	5	src/libgit2/transport.c
git_worktree_add	symbol	function_exported	5	src/libgit2/worktree.c
git_worktree_add_options_init	symbol	function_exported	5	src/libgit2/worktree.c
git_fetch_options	type	struct	5	include/git2/remote.h
git_push_options	type	struct	5	include/git2/remote.h
git_smart_subtransport_definition	type	struct	5	include/git2/sys/transport.h
git_remote_download	symbol	function_exported	6	src/libgit2/remote.c
git_remote_fetch	symbol	function_exported	6	src/libgit2/remote.c
git_remote_push	symbol	function_exported	6	src/libgit2/remote.c
git_clone_options	type	struct	6	include/git2/clone.h
git_submodule_update_options	type	struct	6	include/git2/submodule.h
git_clone	symbol	function_exported	7	src/libgit2/clone.c
git_clone_init_options	symbol	function_exported	7	src/libgit2/clone.c
git_submodule_clone	symbol	function_exported	7	src/libgit2/submodule.c
git_submodule_update	symbol	function_exported	7	src/libgit2/submodule.c
